community,region,country,latitude,longitude,type,scenario,resolution,unit,DATE,PMAT
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-01-01,4.22
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-02-01,5.37
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-03-01,5.99
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-04-01,7.56
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-05-01,10.6
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-06-01,13.9
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-07-01,16.2
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-08-01,15.98
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-09-01,11.53
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-10-01,6.35
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-11-01,3.64
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2036-12-01,-0.61
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-01-01,-0.13
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-02-01,1.22
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-03-01,-1.05
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-04-01,6.95
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-05-01,8.72
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-06-01,12.91
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-07-01,15.47
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-08-01,14.65
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-09-01,12.14
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-10-01,7.39
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-11-01,0.3
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2037-12-01,1.12
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-01-01,2.52
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-02-01,-0.23
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-03-01,2.78
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-04-01,5.54
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-05-01,9.19
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-06-01,12.82
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-07-01,15.98
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-08-01,15.36
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-09-01,11.8
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-10-01,9.5
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-11-01,4.61
