"","pond_name","Decade","Scenario","Model","month","mean_med_temp"
"265","CAN","Other","4.5","CRD45",1,6.62987000243872
"266","CAN","Other","4.5","CRD45",2,6.1824428463066
"267","CAN","Other","4.5","CRD45",3,5.708780256752
"268","CAN","Other","4.5","CRD45",4,7.88976267409094
"269","CAN","Other","4.5","CRD45",5,10.795546406704
"270","CAN","Other","4.5","CRD45",6,13.4724889831941
"271","CAN","Other","4.5","CRD45",7,15.3730905934923
"272","CAN","Other","4.5","CRD45",8,16.1362255890257
"273","CAN","Other","4.5","CRD45",9,15.2295558289093
"274","CAN","Other","4.5","CRD45",10,12.9522223688814
"275","CAN","Other","4.5","CRD45",11,9.97562567182854
"276","CAN","Other","4.5","CRD45",12,7.93414279877446
"277","CAN","Other","8.5","CRD85",1,7.84047381621975
"278","CAN","Other","8.5","CRD85",2,6.5549748307533
"279","CAN","Other","8.5","CRD85",3,6.91584092818511
"280","CAN","Other","8.5","CRD85",4,8.362496893063
"281","CAN","Other","8.5","CRD85",5,11.4646817009237
"282","CAN","Other","8.5","CRD85",6,14.0513762185202
"283","CAN","Other","8.5","CRD85",7,16.5870522844504
"284","CAN","Other","8.5","CRD85",8,17.0390235385253
"285","CAN","Other","8.5","CRD85",9,16.1229301808836
"286","CAN","Other","8.5","CRD85",10,15.4940920842429
"287","CAN","Other","8.5","CRD85",11,12.20928232457
"288","CAN","Other","8.5","CRD85",12,9.6344030882386
"289","EYS","2030s","4.5","CRD45",1,6.46181489108455
"290","EYS","2030s","4.5","CRD45",2,6.13420341197117
"291","EYS","2030s","4.5","CRD45",3,5.42326188397745
"292","EYS","2030s","4.5","CRD45",4,6.46438947031408
"293","EYS","2030s","4.5","CRD45",5,8.94113161300449
"294","EYS","2030s","4.5","CRD45",6,11.8314505737889
"295","EYS","2030s","4.5","CRD45",7,14.1780650671907
"296","EYS","2030s","4.5","CRD45",8,15.2808837767063
"297","EYS","2030s","4.5","CRD45",9,14.6192777909817
"298","EYS","2030s","4.5","CRD45",10,12.5436007095521
"299","EYS","2030s","4.5","CRD45",11,9.42304318569198
"300","EYS","2030s","4.5","CRD45",12,8.0245202564171
"301","EYS","2030s","8.5","CRD85",1,5.72731964501121
"302","EYS","2030s","8.5","CRD85",2,4.74867110967572
"303","EYS","2030s","8.5","CRD85",3,4.98982765683668
"304","EYS","2030s","8.5","CRD85",4,6.08443135991765
"305","EYS","2030s","8.5","CRD85",5,8.83437373005461
"306","EYS","2030s","8.5","CRD85",6,11.7276651676659
"307","EYS","2030s","8.5","CRD85",7,14.169599454307
"308","EYS","2030s","8.5","CRD85",8,15.3072471627836
"309","EYS","2030s","8.5","CRD85",9,14.9102516320261
"310","EYS","2030s","8.5","CRD85",10,13.1801593315149
"311","EYS","2030s","8.5","CRD85",11,9.32041137116194
"312","EYS","2030s","8.5","CRD85",12,7.55419808189589
"313","EYS","2060s","4.5","CRD45",1,8.39673122188589
"314","EYS","2060s","4.5","CRD45",2,7.42794079680002
"315","EYS","2060s","4.5","CRD45",3,6.86411287178172
"316","EYS","2060s","4.5","CRD45",4,10.1490856233019
"317","EYS","2060s","4.5","CRD45",5,12.5247413945496
"318","EYS","2060s","4.5","CRD45",6,14.3170657380714
"319","EYS","2060s","4.5","CRD45",7,16.0906899020284
"320","EYS","2060s","4.5","CRD45",8,16.7522753936309
"321","EYS","2060s","4.5","CRD45",9,16.0153082736007
"322","EYS","2060s","4.5","CRD45",10,14.1498997831471
"323","EYS","2060s","4.5","CRD45",11,11.3266731657213
