year,month,model,temperature,rcp,site,date
2019,Sep,Model1,10.7764861817481,4.5,CRD,2019-09-01
2013,Jul,Model1,11,4.5,CRD,2013-07-01
2019,Oct,Model1,7.69443786451757,4.5,CRD,2019-10-01
2019,Nov,Model1,3.97180843995842,4.5,CRD,2019-11-01
2019,Dec,Model1,3.26497948155363,4.5,CRD,2019-12-01
2020,Jan,Model1,2.98517375033829,4.5,CRD,2020-01-01
2020,Feb,Model1,2.43696616009522,4.5,CRD,2020-02-01
2020,Mar,Model1,-2.61267887257336,4.5,CRD,2020-03-01
2020,Apr,Model1,-2.46874234887291,4.5,CRD,2020-04-01
2020,May,Model1,1.55992244630063,4.5,CRD,2020-05-01
2020,Jun,Model1,5.58522122306367,4.5,CRD,2020-06-01
2020,Jul,Model1,8.83826511570256,4.5,CRD,2020-07-01
2012,Feb,Model1,-0.94785231501078,4.5,CRD,2012-02-01
2013,Aug,Model1,12.11,4.5,CRD,2013-08-01
2020,Aug,Model1,10.5218408829645,4.5,CRD,2020-08-01
2020,Sep,Model1,9.86924724001382,4.5,CRD,2020-09-01
2020,Oct,Model1,7.77343375030789,4.5,CRD,2020-10-01
2020,Nov,Model1,3.27404102354675,4.5,CRD,2020-11-01
2020,Dec,Model1,1.84565775578141,4.5,CRD,2020-12-01
2021,Jan,Model1,-0.388772923834486,4.5,CRD,2021-01-01
2021,Feb,Model1,-0.288702104633965,4.5,CRD,2021-02-01
2021,Mar,Model1,-1.79891870845044,4.5,CRD,2021-03-01
2021,Apr,Model1,0.50098726395787,4.5,CRD,2021-04-01
2021,May,Model1,3.41778062363318,4.5,CRD,2021-05-01
2013,Sep,Model1,9.03,4.5,CRD,2013-09-01
2021,Jun,Model1,7.27916586957909,4.5,CRD,2021-06-01
2021,Jul,Model1,10.2365132609439,4.5,CRD,2021-07-01
2021,Aug,Model1,11.6601330285783,4.5,CRD,2021-08-01
2021,Sep,Model1,10.9684066919119,4.5,CRD,2021-09-01
2021,Oct,Model1,9.71868138236683,4.5,CRD,2021-10-01
2021,Nov,Model1,5.45430789966272,4.5,CRD,2021-11-01
2021,Dec,Model1,3.60689390969116,4.5,CRD,2021-12-01
2022,Jan,Model1,2.29364308110339,4.5,CRD,2022-01-01
2022,Feb,Model1,0.39446476137791,4.5,CRD,2022-02-01
2022,Mar,Model1,1.2455752596145,4.5,CRD,2022-03-01
2013,Oct,Model1,7.51,4.5,CRD,2013-10-01
2022,Apr,Model1,3.51276508092801,4.5,CRD,2022-04-01
2022,May,Model1,4.93043720997994,4.5,CRD,2022-05-01
2022,Jun,Model1,7.25070548614909,4.5,CRD,2022-06-01
2022,Jul,Model1,9.47356328563976,4.5,CRD,2022-07-01
2022,Aug,Model1,10.7014092117356,4.5,CRD,2022-08-01
2022,Sep,Model1,10.593860977493,4.5,CRD,2022-09-01
2022,Oct,Model1,7.80881539915799,4.5,CRD,2022-10-01
2022,Nov,Model1,4.42524625663939,4.5,CRD,2022-11-01
2022,Dec,Model1,2.4395246741471,4.5,CRD,2022-12-01
2023,Jan,Model1,2.53351900585489,4.5,CRD,2023-01-01
2013,Nov,Model1,5.74,4.5,CRD,2013-11-01
2023,Feb,Model1,1.43199788402629,4.5,CRD,2023-02-01
2023,Mar,Model1,-0.796477726135356,4.5,CRD,2023-03-01
2023,Apr,Model1,-0.288915692366085,4.5,CRD,2023-04-01
2023,May,Model1,3.13261523233114,4.5,CRD,2023-05-01
