STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/26/2001,4.1,9.7,0,0,5,9.4,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/27/2001,2.4,0.3,0,0,0.6,5,-4.4,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/28/2001,1.8,0.3,0,0,0,5,-5.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/29/2001,3,15.2,41,51,1.7,2.8,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/30/2001,2.3,1.8,61,25,1.7,4.4,-1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,3/31/2001,1.5,0.5,0,25,-0.6,2.8,-3.9,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/1/2001,1.3,0,0,178,-1.1,5,-7.2,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/2/2001,3.1,0.3,0,0,2.8,5.6,0,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/3/2001,8.2,27.4,76,76,,3.3,1.1,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/4/2001,3.1,20.1,0,102,1.7,3.3,-0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/5/2001,1.1,0,0,76,1.1,6.1,-3.9,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/6/2001,0.9,0,0,76,-0.6,4.4,-5.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/7/2001,1.6,1,0,51,0,5,-5.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/8/2001,1.8,6.6,0,152,2.2,7.2,-2.8,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/9/2001,1.7,0,0,25,1.7,8.3,-5,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/10/2001,4.7,0,0,0,3.9,7.2,0,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/11/2001,7,17,0,0,3.9,6.7,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/12/2001,3.3,4.6,0,0,2.8,4.4,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/13/2001,1.5,3.8,0,0,2.8,5.6,0,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/14/2001,2.2,6.6,0,0,2.8,5,0,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/15/2001,0.9,12.4,0,0,3.3,6.1,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/16/2001,1,1.3,0,0,3.3,7.2,-1.1,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/17/2001,1.1,0,0,0,3.3,8.9,-2.8,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/18/2001,0.5,3.8,0,0,3.3,7.8,-1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/19/2001,0.9,4.3,0,0,4.4,9.4,-0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/20/2001,1.6,0.3,0,0,3.9,8.3,-1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/21/2001,1.6,0,0,0,3.9,8.9,-1.7,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/22/2001,1.3,0,0,0,5,12.2,-2.8,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/23/2001,2,0.3,0,0,3.9,9.4,-2.2,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/24/2001,2.7,2,0,0,3.9,10,-2.2,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/25/2001,2.6,15,0,0,4.4,7.2,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/26/2001,1.9,0,0,0,7.8,12.2,2.8,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/27/2001,5.4,5.3,0,0,6.7,10,3.3,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/28/2001,5.1,0.3,0,0,6.1,8.9,3.3,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/29/2001,2.1,0,0,0,5.6,12.2,-1.7,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,4/30/2001,2.5,0,0,0,5,11.1,-1.7,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/1/2001,3.7,5.8,0,0,3.3,5.6,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/2/2001,6.1,19.8,0,0,3.3,5,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/3/2001,3.9,19.8,0,0,2.2,3.9,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/4/2001,3.8,15.2,345,203,0.6,2.2,-1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/5/2001,4,1.3,0,76,2.8,5,0,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/6/2001,4.2,0.5,0,51,6.1,8.9,3.3,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/7/2001,2.7,0.8,0,0,7.8,11.7,3.3,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/8/2001,1.8,0,0,0,6.1,10.6,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/9/2001,1.3,3,0,0,4.4,7.2,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/10/2001,2.1,0.8,0,0,3.9,8.9,-1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/11/2001,1.2,0,0,0,4.4,11.7,-2.8,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/12/2001,0.8,0,0,0,6.1,13.9,-2.2,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/13/2001,2.4,0,0,0,7.2,16.1,-2.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/14/2001,1.4,0.3,0,0,8.9,13.3,3.9,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/15/2001,2.6,1,0,0,8.9,11.7,5.6,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/16/2001,2.1,5.6,0,0,6.7,12.2,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/17/2001,1.3,15.5,0,0,5,10.6,-0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/18/2001,1.7,1,0,0,6.7,10.6,2.8,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/19/2001,2,0.8,0,0,6.7,12.8,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/20/2001,3.3,0.8,0,0,7.8,10.6,4.4,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/21/2001,3.8,13.5,0,0,6.1,7.8,3.9,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/22/2001,1.4,5.6,0,0,5,8.9,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/23/2001,1.4,5.1,0,0,6.1,11.7,0,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/24/2001,2.1,3.3,0,0,5.6,10,0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/25/2001,1.6,2.5,0,0,6.1,9.4,2.8,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/26/2001,1.5,0,0,0,6.7,13.3,-0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/27/2001,2,0,0,0,10,20.6,-0.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/28/2001,1.5,0,0,0,9.4,15.6,3.3,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/29/2001,0.8,3.8,0,0,9.4,11.7,7.2,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/30/2001,1.5,1.3,0,0,10,14.4,5,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,5/31/2001,2.1,0.3,0,0,10.6,19.4,1.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/1/2001,1.3,0,,,12.2,18.9,5,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/2/2001,2.6,0,,,9.4,15.6,2.8,0
