"","Month-Year","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TDN","Cabin","TDS","Square","EyakS","RHM","BeaverS","CanneryControl","Wooded"
"80","10-2014","CORDOVA AIRPORT",4.4,13.9,-7.7,"CR",NA,5.14,NA,NA,NA,5.73,NA,NA,NA
"81","10-2015","CORDOVA AIRPORT",6.36,15,-3.8,"CR",NA,6.41,6.91,NA,NA,6.09,NA,NA,NA
"82","10-2016","CORDOVA AIRPORT",3.84,14.4,-7.7,"CR",NA,NA,5.02,NA,NA,6.04,NA,5.28,4.91
"83","10-2017","CORDOVA AIRPORT",4.4,13.9,-7.1,"CR",NA,5.49,5.67,NA,7.34,5.27,NA,7.17,7.85
"84","10-2018","CORDOVA AIRPORT",7.12,16.1,-6,"CR",NA,7.56,NA,NA,8.22,7.05,NA,8.43,8.51
"85","10-2019","CORDOVA AIRPORT",5.78,14.4,-4.3,"CR",NA,NA,NA,NA,7.14,NA,NA,7.06,10.14
"86","11-2011",NA,NA,NA,NA,"CR",2.73,0.91,2.58,3.58,NA,NA,NA,NA,NA
"87","11-2012","CORDOVA AIRPORT",-4.1,8.3,-17.8,"CR",3.14,0.71,3.24,3.49,1.62,3.14,4.34,NA,NA
"88","11-2013","CORDOVA AIRPORT",-1.41,9.4,-18.2,"CR",4.05,2.13,-0.62,4.73,5.09,2.74,5.74,NA,NA
"89","11-2014","CORDOVA AIRPORT",1.77,13.3,-11.6,"CR",NA,2.5,NA,NA,NA,3.92,NA,NA,NA
"90","11-2015","CORDOVA AIRPORT",-0.7,8.3,-17.7,"CR",NA,2.16,2.88,NA,NA,1.81,NA,NA,NA
"91","11-2016","CORDOVA AIRPORT",1.58,11.1,-10.5,"CR",NA,1.2,2.83,NA,NA,4.35,NA,3.25,3.18
"92","11-2017","CORDOVA AIRPORT",-1.54,12.2,-13.8,"CR",NA,1.43,2.31,NA,NA,1.9,NA,NA,NA
"93","11-2018","CORDOVA AIRPORT",2.61,11.7,-8.8,"CR",NA,3.53,NA,NA,4.47,3.04,NA,4.27,3.95
"94","12-2011",NA,NA,NA,NA,"CR",1.27,0.29,1.34,1.86,NA,NA,NA,NA,NA
"95","12-2012","CORDOVA AIRPORT",-4.62,7.2,-20,"CR",1.43,0.02,1.65,2.16,0.25,1.1,3,NA,NA
"96","12-2013","CORDOVA AIRPORT",-3.9,6.7,-22.1,"CR",1.3,0.14,-1.89,2.98,2.66,0.63,3.94,NA,NA
"97","12-2014","CORDOVA AIRPORT",1.53,8.9,-8.2,"CR",NA,1.21,NA,NA,NA,2.3,NA,NA,NA
"98","12-2015","CORDOVA AIRPORT",-1.38,6.7,-14.9,"CR",NA,0.83,2.03,NA,NA,0.71,NA,NA,NA
"99","12-2016","CORDOVA AIRPORT",-3.24,5,-16.6,"CR",NA,0.35,0.2,NA,NA,2.14,NA,0.53,1.43
"100","12-2017","CORDOVA AIRPORT",-0.34,10,-15.5,"CR",NA,1.06,1.66,NA,NA,1.37,NA,NA,NA
"101","12-2018","CORDOVA AIRPORT",1.66,8.9,-6.6,"CR",NA,1.9,NA,NA,2.97,1.4,NA,2.5,2.47
