"","Month-Year","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","TDN","Cabin","TDS","Square","EyakS","RHM","BeaverS","CanneryControl","Wooded"
"78","10-2012","CORDOVA AIRPORT",1.5,12.8,-12.2,"CR",13.46,7.8,9.96,8.88,10.94,8.08,6.98,NA,NA
"79","10-2013","CORDOVA AIRPORT",6.62,14.4,-2.7,"CR",9.96,8.52,10.65,9.57,10.26,8.48,8.28,NA,NA
"80","10-2014","CORDOVA AIRPORT",4.4,13.9,-7.7,"CR",NA,7.52,NA,NA,NA,7.68,NA,NA,NA
"81","10-2015","CORDOVA AIRPORT",6.36,15,-3.8,"CR",NA,7.59,9.31,NA,NA,9.78,NA,NA,NA
"82","10-2016","CORDOVA AIRPORT",3.84,14.4,-7.7,"CR",NA,NA,9.31,NA,NA,8.17,NA,10.65,9.87
"83","10-2017","CORDOVA AIRPORT",4.4,13.9,-7.1,"CR",NA,9.04,10.52,NA,11.53,8.44,NA,11.53,10.55
"84","10-2018","CORDOVA AIRPORT",7.12,16.1,-6,"CR",NA,9.46,NA,NA,12.3,8.59,NA,12.98,12.98
"85","10-2019","CORDOVA AIRPORT",5.78,14.4,-4.3,"CR",NA,NA,NA,NA,11.82,NA,NA,11.92,11.33
"86","11-2011",NA,NA,NA,NA,"CR",4.25,3.48,3.12,4.22,NA,NA,NA,NA,NA
"87","11-2012","CORDOVA AIRPORT",-4.1,8.3,-17.8,"CR",4.04,1.94,4.52,4.52,2.3,4.31,5.45,NA,NA
"88","11-2013","CORDOVA AIRPORT",-1.41,9.4,-18.2,"CR",5.67,5.49,5.14,6.37,6.37,6.27,6.88,NA,NA
"89","11-2014","CORDOVA AIRPORT",1.77,13.3,-11.6,"CR",NA,3.96,NA,NA,NA,4.83,NA,NA,NA
"90","11-2015","CORDOVA AIRPORT",-0.7,8.3,-17.7,"CR",NA,5.2,4.79,NA,NA,4.73,NA,NA,NA
"91","11-2016","CORDOVA AIRPORT",1.58,11.1,-10.5,"CR",NA,1.48,6.03,NA,NA,5.38,NA,5.76,4.93
"92","11-2017","CORDOVA AIRPORT",-1.54,12.2,-13.8,"CR",NA,4.09,5.1,NA,NA,4.22,NA,NA,NA
"93","11-2018","CORDOVA AIRPORT",2.61,11.7,-8.8,"CR",NA,4.84,NA,NA,6.67,4.95,NA,6.17,5.55
"94","12-2011",NA,NA,NA,NA,"CR",2.37,0.58,2.42,3.3,NA,NA,NA,NA,NA
"95","12-2012","CORDOVA AIRPORT",-4.62,7.2,-20,"CR",2.3,0.25,2.3,2.73,0.67,1.98,3.47,NA,NA
"96","12-2013","CORDOVA AIRPORT",-3.9,6.7,-22.1,"CR",3.06,0.36,0.12,3.68,4,1,4.62,NA,NA
"97","12-2014","CORDOVA AIRPORT",1.53,8.9,-8.2,"CR",NA,2.15,NA,NA,NA,2.84,NA,NA,NA
"98","12-2015","CORDOVA AIRPORT",-1.38,6.7,-14.9,"CR",NA,1.94,2.66,NA,NA,3.05,NA,NA,NA
"99","12-2016","CORDOVA AIRPORT",-3.24,5,-16.6,"CR",NA,1.32,1.21,NA,NA,2.9,NA,1.55,2.41
"100","12-2017","CORDOVA AIRPORT",-0.34,10,-15.5,"CR",NA,2.72,4.48,NA,NA,2.29,NA,NA,NA
"101","12-2018","CORDOVA AIRPORT",1.66,8.9,-6.6,"CR",NA,4.35,NA,NA,4.83,4.56,NA,4.73,4.42
